ID,K1_typ,K2_poloha,K3_velikost,K4_tvar,K5_vybaveni
1,1.0,0.9666666666666667,1.062,0.98,0.9933333333333333
2,0.9,1.0,1.0695000000000001,1.02,0.9933333333333333
3,1.0,1.0333333333333334,1.073,0.9,0.9
4,1.1,1.1,1.097,1.1,1.06
5,1.0,1.0666666666666667,1.068,0.96,0.98
6,1.075,1.0666666666666667,0.9,1.02,1.0866666666666667
7,1.1,1.0333333333333334,1.1,1.02,1.0333333333333334
8,0.9,1.0,0.969,0.96,0.9
9,1.075,1.1,1.084,1.04,1.1
10,1.075,1.0666666666666667,0.9665,0.98,1.1
11,1.0,1.1,1.0795000000000001,0.98,1.0066666666666666
12,1.0875000000000001,1.0333333333333334,1.0985,1.06,1.0733333333333333
13,1.0875000000000001,1.0333333333333334,1.099,1.06,1.0733333333333333
14,1.075,1.0,1.073,0.96,1.0733333333333333
15,1.075,0.9666666666666667,1.086,0.96,1.0733333333333333
16,1.075,0.9666666666666667,1.076,0.96,1.0733333333333333
17,0.9,0.9,0.9455,0.96,0.9
18,0.975,0.9,0.9745,0.96,0.9
19,0.975,0.9,1.0085,0.98,0.9533333333333334
